Customer ID,Loan Sanction Amount (USD)
C-26247,88201.2311122688
C-35067,63888.326103023464
C-34590,7822.743034699885
C-16668,51022.17881361796
C-12196,65819.08110126633
C-2600,1190.6479772226594
C-9047,89229.97534335368
C-2206,64350.55583589068
C-25607,1188.4759687005496
C-11606,16148.909945815447
C-3624,76710.72847964194
C-43027,3799.480732359723
C-15190,79343.51648182682
C-25816,14509.858390762258
C-26370,43168.81043830896
C-1281,180237.13312580506
C-29433,6098.939765765575
C-36256,55146.44442282195
C-34217,38165.569813739094
C-39950,61531.568829418866
C-6756,24053.51717032597
C-26652,50676.007945136305
C-3991,81125.80499690026
C-40312,39205.583977206166
C-24580,147662.71157167063
C-4949,4584.70060551869
C-18783,78372.9142190433
C-39205,66055.58134359038
C-23784,-595.6317422586338
C-39508,105588.95059879753
C-19062,115986.5844897625
C-48140,47510.8717071941
C-11314,57430.16245861648
C-766,63468.88230683904
C-39319,9191.38670313167
C-15299,57041.87614881099
C-10298,35766.67255120726
C-25573,51334.20746761095
C-18750,26533.925934557494
C-19298,39582.695054938544
C-11497,65618.34214415461
C-42250,20824.935320384775
C-17501,48052.44356132831
C-24290,50835.3100275576
C-8590,102793.14598860386
C-8038,70371.89134137575
C-25261,2112.3682695884854
C-32634,12489.1908992304
C-15073,48034.69318259199
C-44174,19768.25188631528
C-31916,70586.58615476383
C-30620,21075.92218614497
C-12561,37309.10413369076
C-40301,108015.50853256334
C-14716,19123.74612934621
C-27558,37870.39612661273
C-32563,44511.97565743238
C-31387,22606.536724525602
C-45649,-2317.577223108801
C-22572,29243.272858619195
C-48427,67885.92058180532
C-24904,71369.19832093568
C-27683,15627.893721338993
C-43495,60288.91650053655
C-25735,27038.326040944055
C-21375,73789.40136789491
C-41309,75096.24903098411
C-7767,25641.404674503196
C-11841,1502.9867449556566
C-5763,93112.60088088393
C-8389,38169.223326765146
C-16692,44452.12794983197
C-33430,98196.24016846833
C-2953,209457.08464801242
C-11912,22986.345026977764
C-6072,64625.579051875706
C-6321,35565.40814726399
C-26772,62716.520922223244
C-24747,51282.12447287546
C-20883,138780.51190901085
C-11751,56661.832470707974
C-24776,83236.16482833233
C-20642,20649.19116413358
C-9613,1892.3375814286273
C-45334,4700.44602238478
C-37941,64263.92301333841
C-2908,38109.18208256465
C-13784,14603.836917926974
C-26710,56793.29484439673
C-1892,58699.787136145635
C-49928,110819.950510398
C-23082,89115.05403497927
C-27939,44638.44917000921
C-41801,-3547.719384770242
C-19700,9393.393995529519
C-43113,36571.94877397939
C-27336,85289.1894550736
C-36772,38629.960768129415
C-3197,12243.985200364796
C-14674,80042.65615516802
C-5092,19276.74721623476
C-41664,2264.457989955235
C-85,30337.295947671973
C-48382,45822.181036916554
C-35744,81867.5040691596
C-32776,-343.30243554614543
C-49131,-298.2241113476322
C-29703,12852.235628992421
C-14880,35962.81710665966
C-36170,2218.850223446518
C-41645,506.1659408993578
C-4784,43636.13782412082
C-38418,65856.92303736653
C-13222,73255.9369642693
C-32852,24818.085242410278
C-21795,25013.054320669846
C-121,35185.970910968164
C-39952,31574.847043088655
C-45166,-2710.9841697079614
C-32641,54720.68120976925
C-27678,17870.198348775113
C-10704,-10608.16380972759
C-33461,22788.937967560632
C-22001,87458.48810898345
C-30170,59353.34838754363
C-23960,62837.35540483893
C-16139,18776.2068779484
C-27022,13855.71711643537
C-19074,23335.68886117773
C-49284,-694.3440102190243
C-8598,49563.919160202895
C-14962,28587.469009132823
C-35254,730.566703205865
C-30635,2381.7944585879764
C-6981,17008.086000918483
C-5924,39606.90594008227
C-9590,29730.25360594029
C-23842,67645.55336098744
C-45972,17331.696094971616
C-39623,71734.9792924016
C-49153,16.05979458032569
C-34958,76650.5209946612
C-36476,62598.48535204123
C-28630,69.17618964349549
C-12012,67325.16715428725
C-37986,73298.36925301017
C-11513,62892.24542074542
C-48999,76800.72788797844
C-7194,54346.223423574855
C-14162,70965.12238019805
C-6137,14127.906116749087
C-7348,822.0966708385655
C-25756,2311.4341242592395
C-40915,94354.13628002815
C-28646,24403.70650790761
C-31130,44691.58941781102
C-8532,14211.850211152681
C-24097,31384.86694563454
C-1855,24110.423467235752
C-35375,37497.923996824815
C-3997,161881.7844217683
C-42188,46638.16873201361
C-33694,9869.601983477058
C-1613,28584.202187647967
C-9405,72447.13373261843
C-5964,32716.737543144147
C-20231,26840.713554640457
C-23969,14255.386037613498
C-36011,4784.844114773051
C-23079,108806.6780950851
C-44925,-2093.6077191685763
C-9000,86857.17466840394
C-49513,-1896.8653644961569
C-49824,-7953.583473323321
C-17542,91677.40826807346
C-39446,41355.44941999969
C-24862,27413.781695194048
C-30025,36743.85422924679
C-20039,23735.44083693805
C-34113,90967.39769520676
C-19871,53480.556293108435
C-7017,26194.553291706306
C-16017,82968.59197490102
C-1475,69573.62351682104
C-35040,59497.78514167523
C-37318,18427.528356111347
C-4757,68003.51926689786
C-26696,44210.11413703384
C-2450,110079.36812304494
C-38702,47109.53633822174
C-31969,44598.48861173662
C-34069,24093.411111281534
C-23160,27342.499094149065
C-30804,-19.703295364625244
C-49195,56872.62412813327
C-13029,48513.95072351138
C-39590,-819.6292428953388
C-45950,-1083.1256354949144
C-1907,154388.5325405127
C-9729,31135.008197537245
C-24353,43173.961423648165
C-3768,105355.25192489986
C-48652,212152.30298479344
C-14858,9901.27478670246
C-32326,25229.49398376879
C-35385,-1834.220584862003
C-45900,66568.21694125177
C-5823,40306.78908315441
C-29879,46361.90777750295
C-2015,44219.96297525688
C-19823,58059.39204982162
C-19528,60972.7022783921
C-40682,78230.26275206321
C-49354,-3037.9564970299602
C-25744,93852.14367652546
C-14328,56397.42672664689
C-2727,64581.09552696326
C-45497,21959.95918900543
C-17894,207844.66061949448
C-10903,24208.758650351712
C-39413,53349.16927133786
C-4926,26498.340893619792
C-29376,616.0887482844911
C-7440,39178.98822966314
C-38279,39979.795324811996
C-43246,53218.31964849617
C-33701,-3012.428438626328
C-1603,92647.57578499452
C-21756,641.7042782143321
C-20553,-819.3482633968883
C-40318,-1084.7147710898612
C-23274,35744.91667185718
C-3521,1196.0382339353325
C-19742,48022.50732175115
C-42176,-1332.9273884905463
C-33938,102271.33687039676
C-20363,96100.23217323252
C-1614,109848.1708475005
C-22568,511.16615579604604
C-24796,33946.90475470043
C-25092,51160.94719245991
C-40256,30162.202459681197
C-27504,46292.96539266158
C-25753,73570.45106314142
C-27194,45539.14076486561
C-17798,-986.3157379724165
C-11864,31421.264764960866
C-722,23479.823057952875
C-8111,140437.53216016074
C-25051,378.4077859551603
C-42216,45655.38257530686
C-20767,-1163.8789918987625
C-22334,57829.219288242864
C-23551,32566.451143422473
C-48437,-4826.596357986667
C-21452,54642.40100134691
C-16307,52837.554898738395
C-29324,36744.84061663712
C-4513,-49.4393112576419
C-32774,23062.087687311167
C-15695,25389.06149704487
C-48811,109343.2501342983
C-24101,68644.12616364464
C-17567,34747.098621292156
C-3203,40912.091185940175
C-27870,59384.386832080614
C-34250,-3525.4469536488155
C-6052,40891.0606364838
C-33730,74559.2017841293
C-33735,50561.02585301487
C-41784,-340.9430743402245
C-36379,57991.782995552174
C-37051,52826.00050087277
C-45284,13653.180660361679
C-22611,24019.175864383305
C-15220,18584.139737174406
C-46916,25432.14131166637
C-16477,744.0005831519065
C-32921,62415.68170950448
C-10743,64806.1422551308
C-25717,12470.631957651063
C-38804,70725.8647148931
C-47665,96539.22092144983
C-47745,36694.01928564609
C-8340,107900.9035478221
C-35857,6424.017083861142
C-13835,60666.71948870626
C-8181,109042.79554264316
C-7606,17361.60410136339
C-28889,87572.58649985884
C-19884,23757.095870514866
C-26792,-2784.1176041667277
C-29963,65685.6438399488
C-23208,17739.214120365898
C-26232,111251.5570560026
C-38972,127.6481492329762
C-28626,97506.2430028813
C-3278,18448.21077264571
C-9079,23897.55493928934
C-18569,33975.26676300413
C-43756,-600.9399336416924
C-17687,54084.95955306303
C-5824,92988.17914141068
C-6145,23944.189877300265
C-5160,25885.743514485363
C-13520,38515.42770943057
C-2648,26607.076753508445
C-9345,131013.00466910988
C-46369,171145.4790433492
C-34024,27544.4862693858
C-37594,24052.009780108085
C-16600,46591.58031006533
C-12689,85200.40839375084
C-31285,-2066.0580685941827
C-20977,63173.80076816556
C-8645,69198.25716869316
C-28949,59571.57338271625
C-42339,958.0724946058405
C-18516,63986.928492122795
C-26843,17772.59825825683
C-37352,51113.614389482034
C-9621,31505.219896800147
C-40583,33835.53970510144
C-44959,43589.1062172492
C-10087,68989.28209674252
C-31261,127180.21008329942
C-2632,48826.39547175687
C-35797,79802.20078864582
C-9943,31300.25731886284
C-48614,-187.34187474760938
C-38577,27618.08429297429
C-9012,15504.609598436402
C-22068,31850.79958810411
C-34390,11722.36284416128
C-17445,23395.351581220053
C-42960,21463.695804998268
C-29172,24121.525078970837
C-8067,17666.474030950558
C-19101,10095.724343647771
C-16365,565.2736422121652
C-46578,88300.3044189145
C-7726,45637.80119696329
C-11802,65730.57695717314
C-26157,752.565710063183
C-12804,11063.69053971187
C-13829,26849.38316578678
C-16434,49085.719615102425
C-27426,137213.84918037432
C-40208,120933.69329547694
C-35800,27016.923850606177
C-14093,7624.461483245136
C-11648,141587.6810104524
C-44330,43319.890123156314
C-3517,59376.45112330137
C-21658,63058.191952239664
C-6711,29665.244904024283
C-16178,35149.58729909294
C-19315,42938.228002206626
C-12505,-848.983311487044
C-39404,65046.04162624307
C-23783,-472.99540570081535
C-40002,44469.20999654278
C-30526,23544.30976830912
C-8034,44067.50171903472
C-33801,116216.47271324399
C-44646,3254.2402554081914
C-32172,22623.265456401317
C-15887,2767.6053364798668
C-391,-1526.36017613247
C-35271,170634.2216221071
C-45419,24206.77027906969
C-26170,-1501.0363700360886
C-41141,67626.60110490408
C-19608,21279.42320621046
C-12816,33381.41666783312
C-2852,-1382.9106768133352
C-23982,44158.58659104001
C-27035,44967.94557939786
C-19243,31424.652866804987
C-33098,23969.096165341336
C-18918,65798.04340505546
C-38094,20373.606341224047
C-39100,55915.418319894
C-10477,16012.164377179839
C-41693,1992.8413963875635
C-25244,66704.00880084092
C-30176,159571.8273442016
C-43024,11587.712103774553
C-17663,32907.35434239107
C-18116,54354.10726251787
C-12113,69560.99149969353
C-47954,684.0441078837966
C-5056,131215.4188630128
C-13678,-3059.610041310052
C-11014,22785.31429813057
C-38944,14166.273849781808
